Iteration,Accuracy,Player 1 Wins,Player 2 Wins,Nobody Wins
0,0.286,4,3,3
1,0.143,10,0,0
2,0.286,8,1,1
3,0.214,9,0,1
4,0.143,10,0,0
5,0.357,8,0,2
6,0.357,10,0,0
7,0.143,10,0,0
8,0.214,10,0,0
9,0.214,10,0,0
10,0.286,9,0,1
11,0.071,9,1,0
12,0.214,10,0,0
13,0.357,10,0,0
14,0.071,9,0,1
15,0.286,10,0,0
16,0.214,8,0,2
17,0.286,10,0,0
18,0.5,10,0,0
19,0.143,10,0,0
