Iteration,Accuracy,Player 1 Wins,Player 2 Wins,Nobody Wins
0,0.389,8,3,9
1,0.444,4,6,10
2,0.389,4,5,11
3,0.472,1,8,11
4,0.306,8,2,10
5,0.278,8,3,9
6,0.417,3,7,10
7,0.361,1,10,9
8,0.417,4,5,11
9,0.333,9,2,9
10,0.389,8,7,5
11,0.333,4,4,12
12,0.389,9,5,6
13,0.417,5,6,9
14,0.306,4,4,12
15,0.361,5,4,11
16,0.333,1,9,10
17,0.417,7,1,12
18,0.556,1,5,14
19,0.306,4,5,11
20,0.5,6,3,11
21,0.444,6,3,11
22,0.417,6,4,10
23,0.361,8,3,9
24,0.389,4,1,15
25,0.417,9,2,9
26,0.306,8,6,6
27,0.583,3,5,12
28,0.528,5,4,11
29,0.472,5,6,9
30,0.389,5,7,8
31,0.25,5,4,11
32,0.444,6,2,12
33,0.417,9,4,7
34,0.389,5,5,10
35,0.389,6,5,9
36,0.361,8,4,8
37,0.361,3,9,8
38,0.444,5,3,12
39,0.361,7,2,11
40,0.389,5,4,11
41,0.444,6,3,11
42,0.278,6,6,8
43,0.333,2,3,15
44,0.361,2,10,8
45,0.417,4,7,9
46,0.472,3,7,10
47,0.389,6,3,11
48,0.417,3,4,13
49,0.417,6,7,7
50,0.417,5,6,9
51,0.25,8,5,7
52,0.5,6,7,7
53,0.389,3,6,11
54,0.472,3,9,8
55,0.278,9,6,5
56,0.333,7,4,9
57,0.25,6,5,9
58,0.389,3,8,9
59,0.278,6,5,9
60,0.361,5,7,8
61,0.472,5,6,9
62,0.333,5,5,10
63,0.333,6,7,7
64,0.528,4,8,8
65,0.222,7,4,9
66,0.25,7,7,6
67,0.25,5,7,8
68,0.361,3,5,12
69,0.444,6,6,8
70,0.472,7,7,6
71,0.389,5,2,13
72,0.361,4,8,8
73,0.528,4,4,12
74,0.417,4,4,12
75,0.361,3,6,11
76,0.333,7,6,7
77,0.333,7,4,9
78,0.306,4,5,11
79,0.306,6,3,11
80,0.5,7,3,10
81,0.472,3,6,11
82,0.417,2,2,16
83,0.194,3,9,8
84,0.389,3,6,11
85,0.361,5,4,11
86,0.306,5,1,14
87,0.306,5,6,9
88,0.5,6,4,10
89,0.417,5,5,10
90,0.528,10,6,4
91,0.389,7,3,10
92,0.361,9,7,4
93,0.361,4,6,10
94,0.333,8,2,10
95,0.389,5,3,12
96,0.333,4,6,10
97,0.417,2,4,14
98,0.194,5,6,9
99,0.333,9,7,4
