Iteration,Accuracy,Player 1 Wins,Player 2 Wins,Nobody Wins
0,0.558,0,20,0
1,0.273,7,12,1
2,0.372,6,12,2
3,0.233,9,8,3
4,0.304,7,10,3
5,0.512,7,9,4
6,0.171,6,10,4
7,0.279,11,7,2
8,0.425,9,9,2
9,0.341,9,8,3
10,0.372,3,14,3
11,0.186,3,13,4
12,0.293,6,12,2
13,0.326,9,9,2
14,0.2,11,7,2
15,0.351,9,10,1
16,0.233,10,9,1
17,0.22,9,5,6
18,0.256,9,9,2
19,0.356,8,9,3
