Iteration,Accuracy,Player 1 Wins,Player 2 Wins,Nobody Wins
0,0.688,7,3,0
1,0.75,9,1,0
2,0.5,10,0,0
3,0.812,10,0,0
4,0.5,10,0,0
5,0.667,10,0,0
6,0.8,10,0,0
7,0.667,10,0,0
8,0.6,10,0,0
9,0.8,10,0,0
10,0.467,10,0,0
11,0.786,10,0,0
12,0.812,10,0,0
13,0.867,9,1,0
14,0.8,10,0,0
15,0.6,10,0,0
16,0.667,10,0,0
17,0.667,10,0,0
18,0.867,10,0,0
19,0.533,10,0,0
