Iteration,Accuracy,Player 1 Wins,Player 2 Wins,Nobody Wins
0,0.611,2,1,7
1,0.111,9,0,1
2,0.167,10,0,0
3,0.167,10,0,0
4,0.222,10,0,0
5,0.056,8,0,2
6,0.222,10,0,0
7,0.333,10,0,0
8,0.222,10,0,0
9,0.111,10,0,0
10,0.167,9,1,0
11,0.222,10,0,0
12,0.333,10,0,0
13,0.389,10,0,0
14,0.167,9,0,1
15,0.278,10,0,0
16,0.389,10,0,0
17,0.222,10,0,0
18,0.222,10,0,0
19,0.056,10,0,0
