Iteration,Accuracy,Player 1 Wins,Player 2 Wins,Nobody Wins
0,0.75,4,6,0
1,0.75,7,3,0
2,0.625,9,1,0
3,0.703,6,4,0
4,0.747,7,3,0
5,0.833,5,5,0
6,0.779,8,2,0
7,0.734,5,5,0
8,0.736,6,4,0
9,0.712,6,4,0
10,0.705,6,4,0
11,0.776,6,4,0
12,0.779,7,3,0
13,0.777,6,4,0
14,0.812,7,3,0
15,0.781,7,3,0
16,0.727,5,5,0
17,0.74,8,2,0
18,0.763,9,1,0
19,0.819,9,1,0
