Iteration,Accuracy,Player 1 Wins,Player 2 Wins,Nobody Wins
0,0.562,6,4,0
1,0.625,7,3,0
2,0.771,10,0,0
3,0.781,8,2,0
4,0.785,7,3,0
5,0.726,9,1,0
6,0.802,8,2,0
7,0.778,7,3,0
8,0.761,10,0,0
9,0.792,9,1,0
10,0.759,6,4,0
11,0.791,8,2,0
12,0.764,10,0,0
13,0.794,8,2,0
14,0.816,4,6,0
15,0.741,7,3,0
16,0.823,10,0,0
17,0.805,8,2,0
18,0.809,6,4,0
19,0.788,5,5,0
