Iteration,Accuracy,Player 1 Wins,Player 2 Wins,Nobody Wins
0,0.361,7,4,9
1,0.833,10,2,8
2,0.75,6,2,12
3,0.556,12,2,6
4,0.611,14,5,1
5,0.5,16,3,1
6,0.583,15,2,3
7,0.639,14,2,4
8,0.444,16,1,3
9,0.583,15,1,4
10,0.75,17,1,2
11,0.611,14,3,3
12,0.722,15,3,2
13,0.639,17,0,3
14,0.833,17,0,3
15,0.667,19,0,1
16,0.639,17,0,3
17,0.806,19,1,0
18,0.667,18,0,2
19,0.667,17,1,2
