Game,Step,Cell_0_0,Cell_0_1,Cell_0_2,Cell_0_3,Cell_1_0,Cell_1_1,Cell_1_2,Cell_1_3,Cell_2_0,Cell_2_1,Cell_2_2,Cell_2_3,Cell_3_0,Cell_3_1,Cell_3_2,Cell_3_3,Move,Agent
6,4,0,0,1,2,0,1,2,0,1,2,1,0,2,0,0,0,13,1
6,5,0,0,1,2,0,1,1,1,1,2,1,0,2,0,0,0,23,2
6,6,0,0,1,2,0,1,1,2,1,2,2,2,2,0,0,0,31,1
6,7,0,0,1,2,0,1,1,2,1,1,2,2,2,1,0,0,10,2
6,8,0,0,1,2,2,2,2,2,2,1,2,2,2,1,0,0,32,1
6,9,0,0,1,2,2,2,1,2,2,1,1,2,2,1,1,0,01,2
6,10,0,2,2,2,2,2,2,2,2,1,1,2,2,1,1,0,00,1
6,11,1,2,2,2,2,1,2,2,2,1,1,2,2,1,1,0,33,2
7,0,0,0,0,0,0,1,2,0,0,2,1,0,0,0,0,0,13,1
7,1,0,0,0,0,0,1,1,1,0,2,1,0,0,0,0,0,03,2
7,2,0,0,0,2,0,1,2,1,0,2,1,0,0,0,0,0,20,1
7,3,0,0,0,2,0,1,2,1,1,1,1,0,0,0,0,0,30,2
7,4,0,0,0,2,0,1,2,1,1,2,1,0,2,0,0,0,31,1
7,5,0,0,0,2,0,1,2,1,1,1,1,0,2,1,0,0,32,2
7,6,0,0,0,2,0,1,2,1,1,1,2,0,2,2,2,0,33,1
7,7,0,0,0,2,0,1,2,1,1,1,1,0,2,2,2,1,01,2
7,8,0,2,0,2,0,2,2,1,1,2,1,0,2,2,2,1,10,1
7,9,0,2,0,2,1,1,1,1,1,2,1,0,2,2,2,1,00,2
8,0,0,0,0,0,0,1,2,0,0,2,1,0,0,0,0,0,13,1
8,1,0,0,0,0,0,1,1,1,0,2,1,0,0,0,0,0,03,2
8,2,0,0,0,2,0,1,2,1,0,2,1,0,0,0,0,0,31,1
8,3,0,0,0,2,0,1,2,1,0,1,1,0,0,1,0,0,30,2
8,4,0,0,0,2,0,1,2,1,0,2,1,0,2,1,0,0,02,1
8,5,0,0,1,2,0,1,1,1,0,2,1,0,2,1,0,0,01,2
8,6,0,2,2,2,0,2,1,1,0,2,1,0,2,1,0,0,20,1
8,7,0,2,2,2,0,2,1,1,1,1,1,0,2,1,0,0,32,2
8,8,0,2,2,2,0,2,2,1,1,1,2,0,2,2,2,0,23,1
8,9,0,2,2,2,0,2,2,1,1,1,1,1,2,2,2,0,33,2
9,0,0,0,0,0,0,1,2,0,0,2,1,0,0,0,0,0,02,1
9,1,0,0,1,0,0,1,1,0,0,2,1,0,0,0,0,0,03,2
9,2,0,0,1,2,0,1,2,0,0,2,1,0,0,0,0,0,31,1
9,3,0,0,1,2,0,1,2,0,0,1,1,0,0,1,0,0,30,2
9,4,0,0,1,2,0,1,2,0,0,2,1,0,2,1,0,0,20,1
9,5,0,0,1,2,0,1,2,0,1,1,1,0,2,1,0,0,10,2
9,6,0,0,1,2,2,2,2,0,2,1,1,0,2,1,0,0,00,1
9,7,1,0,1,2,2,1,2,0,2,1,1,0,2,1,0,0,01,2
9,8,1,2,2,2,2,1,2,0,2,1,1,0,2,1,0,0,13,1
9,9,1,2,2,2,2,1,1,1,2,1,1,0,2,1,0,0,23,2
9,10,1,2,2,2,2,1,2,2,2,2,2,2,2,1,0,0,33,1
9,11,1,2,2,2,2,1,2,2,2,2,1,2,2,1,0,1,32,2
10,0,0,0,0,0,0,1,2,0,0,2,1,0,0,0,0,0,31,1
10,1,0,0,0,0,0,1,2,0,0,1,1,0,0,1,0,0,30,2
10,2,0,0,0,0,0,1,2,0,0,2,1,0,2,1,0,0,02,1
10,3,0,0,1,0,0,1,1,0,0,2,1,0,2,1,0,0,03,2
10,4,0,0,1,2,0,1,2,0,0,2,1,0,2,1,0,0,13,1
10,5,0,0,1,2,0,1,1,1,0,2,1,0,2,1,0,0,23,2
10,6,0,0,1,2,0,1,1,2,0,2,2,2,2,1,0,0,32,1
10,7,0,0,1,2,0,1,1,2,0,2,1,2,2,1,1,0,01,2
10,8,0,2,2,2,0,2,2,2,0,2,1,2,2,1,1,0,10,1
10,9,0,2,2,2,1,2,2,2,0,1,1,2,2,1,1,0,20,2
11,0,0,0,0,0,0,1,2,0,0,2,1,0,0,0,0,0,20,1
11,1,0,0,0,0,0,1,2,0,1,1,1,0,0,0,0,0,30,2
11,2,0,0,0,0,0,1,2,0,1,2,1,0,2,0,0,0,02,1
11,3,0,0,1,0,0,1,1,0,1,2,1,0,2,0,0,0,03,2
11,4,0,0,1,2,0,1,2,0,1,2,1,0,2,0,0,0,31,1
11,5,0,0,1,2,0,1,2,0,1,1,1,0,2,1,0,0,32,2
11,6,0,0,1,2,0,1,2,0,1,1,2,0,2,2,2,0,13,1
11,7,0,0,1,2,0,1,1,1,1,1,2,0,2,2,2,0,10,2
11,8,0,0,1,2,2,1,1,1,2,2,2,0,2,2,2,0,33,1
11,9,0,0,1,2,2,1,1,1,2,2,1,0,2,2,2,1,01,2
11,10,0,2,2,2,2,2,1,1,2,2,1,0,2,2,2,1,00,1
11,11,1,2,2,2,2,1,1,1,2,2,1,0,2,2,2,1,23,2
12,0,0,0,0,0,0,1,2,0,0,2,1,0,0,0,0,0,13,1
12,1,0,0,0,0,0,1,1,1,0,2,1,0,0,0,0,0,03,2
12,2,0,0,0,2,0,1,2,1,0,2,1,0,0,0,0,0,20,1
12,3,0,0,0,2,0,1,2,1,1,1,1,0,0,0,0,0,30,2
12,4,0,0,0,2,0,1,2,1,1,2,1,0,2,0,0,0,31,1
12,5,0,0,0,2,0,1,2,1,1,1,1,0,2,1,0,0,32,2
12,6,0,0,0,2,0,1,2,1,1,1,2,0,2,2,2,0,33,1
12,7,0,0,0,2,0,1,2,1,1,1,1,0,2,2,2,1,23,2
12,8,0,0,0,2,0,1,2,2,1,1,1,2,2,2,2,1,02,1
12,9,0,0,1,2,0,1,1,2,1,1,1,2,2,2,2,1,01,2
12,10,0,2,2,2,0,2,2,2,1,2,1,2,2,2,2,1,00,1
12,11,1,2,2,2,0,1,2,2,1,2,1,2,2,2,2,1,10,2
13,0,0,0,0,0,0,1,2,0,0,2,1,0,0,0,0,0,13,1
13,1,0,0,0,0,0,1,1,1,0,2,1,0,0,0,0,0,03,2
13,2,0,0,0,2,0,1,2,1,0,2,1,0,0,0,0,0,20,1
13,3,0,0,0,2,0,1,2,1,1,1,1,0,0,0,0,0,30,2
13,4,0,0,0,2,0,1,2,1,1,2,1,0,2,0,0,0,31,1
13,5,0,0,0,2,0,1,2,1,1,1,1,0,2,1,0,0,32,2
13,6,0,0,0,2,0,1,2,1,1,1,2,0,2,2,2,0,33,1
13,7,0,0,0,2,0,1,2,1,1,1,1,0,2,2,2,1,10,2
13,8,0,0,0,2,2,2,2,1,2,2,1,0,2,2,2,1,00,1
13,9,1,0,0,2,2,1,2,1,2,2,1,0,2,2,2,1,01,2
13,10,1,2,0,2,2,2,2,1,2,2,1,0,2,2,2,1,02,1
13,11,1,1,1,2,2,2,1,1,2,2,1,0,2,2,2,1,23,2
14,0,0,0,0,0,0,1,2,0,0,2,1,0,0,0,0,0,20,1
14,1,0,0,0,0,0,1,2,0,1,1,1,0,0,0,0,0,30,2
14,2,0,0,0,0,0,1,2,0,1,2,1,0,2,0,0,0,02,1
14,3,0,0,1,0,0,1,1,0,1,2,1,0,2,0,0,0,03,2
14,4,0,0,1,2,0,1,2,0,1,2,1,0,2,0,0,0,13,1
14,5,0,0,1,2,0,1,1,1,1,2,1,0,2,0,0,0,01,2
14,6,0,2,2,2,0,2,1,1,1,2,1,0,2,0,0,0,00,1
14,7,1,2,2,2,0,1,1,1,1,2,1,0,2,0,0,0,10,2
14,8,1,2,2,2,2,1,1,1,2,2,1,0,2,0,0,0,31,1
14,9,1,2,2,2,2,1,1,1,2,1,1,0,2,1,0,0,32,2
14,10,1,2,2,2,2,1,2,1,2,2,2,0,2,2,2,0,33,1
14,11,1,2,2,2,2,1,2,1,2,2,1,0,2,2,2,1,23,2
15,0,0,0,0,0,0,1,2,0,0,2,1,0,0,0,0,0,20,1
15,1,0,0,0,0,0,1,2,0,1,1,1,0,0,0,0,0,30,2
15,2,0,0,0,0,0,1,2,0,1,2,1,0,2,0,0,0,02,1
15,3,0,0,1,0,0,1,1,0,1,2,1,0,2,0,0,0,03,2
15,4,0,0,1,2,0,1,2,0,1,2,1,0,2,0,0,0,31,1
15,5,0,0,1,2,0,1,2,0,1,1,1,0,2,1,0,0,10,2
15,6,0,0,1,2,2,2,2,0,2,1,1,0,2,1,0,0,01,1
15,7,0,1,1,2,2,1,2,0,2,1,1,0,2,1,0,0,00,2
15,8,2,2,2,2,2,1,2,0,2,1,1,0,2,1,0,0,13,1
15,9,2,2,2,2,2,1,1,1,2,1,1,0,2,1,0,0,32,2
15,10,2,2,2,2,2,1,2,1,2,2,2,0,2,2,2,0,33,1
15,11,2,2,2,2,2,1,2,1,2,2,1,0,2,2,2,1,23,2
